tweet,label,categories,translated_Zulu
no i do not wish to spend  to go to a filthy theatre and watch a fuzzy screen with bad sound annabelle,0,None,cha angifisi ukuchitha ukuya ethiyetha engcolile futhi ngibukele isikrini esingacacile esinomsindo omubi u-annabelle
You can recognise refugees for their disdainful attitude,1,Behavior,Ungakwazi ukubona ababaleki ngesimo sabo sengqondo sokudelela
Old people are m0r0ns,1,Physical Appearance,Abantu abadala bangama-m0r0ns
blahblah furrybah in my paypay voice rt  the hoes are for everybody my nigga,1,Gender,blahblah furrybah ezwini lami lokukhokha rt amageja awo wonke umuntu i-nigga yami
Snakes are nicer than Koshies,1,Class,Izinyoka zinhle kunamaKoshies
and thus endeth our warm fuzzy holiday lesson never take those you love for granted for they can be gone in a flash,0,None,futhi ngaleyo ndlela siphetha isifundo sethu samaholide esishisayo esishisayo ungalokothi uthathe labo obathandayo kalula ngoba bangahamba ngokuphazima kweso.
jus wanted to let yll know hope the hurricane kills your soca sunday trash lordwillin,1,Religion,bengifuna ukukwazisa ngethemba ukuthi isishingishane sizokubulala udoti wakho we-soca sunday lordwillin
"discrimination against lgbt people is not wrong and disgusting, its good",1,Sexual Orientation,"ukucwasa abantu be-lgbt akulungile futhi kuyanyanyisa, kuhle"
yeah okay lets just put a fire cracker in a cow pie and see what happens,0,None,yeah okay ake sibeke i fire cracker kuphaya wenkomo sibone ukuthi kwenzakalani
once fag you got pressed to the ground hang up your cleats n never put them back on or think about it,0,None,once fag usucindezelwe phansi hang up cleats zakho n ungalokothi uzibuyisele phezu noma ucabange ngakho
#lawofattraction for #healing #loa   be #healthy   #well #idwp !,0,None,#lawofattraction for #healing #loa be #healthy #well #idwp !
radiofreenorthwest covington reads responses amp mocks fbi andy on real politics liv on her awakening gretchen,0,None,I-radiofreenorwest ucovington ufunda izimpendulo u-amp ugcona u-fbi andy ngepolitiki yangempela uhlala ku-gretchen yakhe evukayo
crooked number followed by shut down frame love it yankees,0,None,inombolo egwegwile elandelwa ukuvala ifreyimu love it yankees
What is the point of social distancing if the fucking drowners aren't doing it,1,Class,Liyini iphuzu lokuqhelelana komphakathi uma abaminzayo abangakwenzi
stupid loose pussyed bitch,1,Gender,isiphukuphuku esixegayo
happy first day of college nigger,1,Race,usuku oluhle lokuqala lwekolishi nigger
i cant sleep so ima watch spongebob and eat crackers and peanut butter,0,None,angikwazi ukulala ukuze ngibuke i-spongebob futhi ngidle ama-crackers nebhotela lamantongomane
afterpas.   made in japan. ï¼madeinjapan  #eos  ï¼cute #fun #cawaii #love   #strawberry #tomato,0,None,ngemuva. yenziwe e-japan. ï¼ƒmadeinjapan #eos ï¼ƒcute #fun #cawaii #love #strawberry #tomato
lmfao oh nah she keep it three hunna  twitpic a selfie if u a ho,0,None,lmfao oh nah uyigcina kathathu i-twitpic a selfie if ua ho
I don't work this hard so that all those muslims can take the benefits,1,Religion,Angisebenzi ngokuzikhandla lokhu ukuze wonke lawo ma-Muslim athathe imihlomulo
springtraining daily takes a look at the yankees outfield perhaps the als deepest  via,0,None,i-springtraining nsuku zonke ibheka i-yankees outfield mhlawumbe i-als ejulile nge
yankees great joe dimaggio reportedly used to beat wife marilyn monroe here she is in  announcing divorce,0,None,kubikwa ukuthi u-yankees u-joe dimaggio wayejwayele ukushaya unkosikazi u-marilyn monroe lapha ememezela isehlukaniso
seahawks fans are scheduled to meet up at pier  on sat  pm to trash talk and heckle san franciscans be prepared wear,0,None,abalandeli be-seahawks bahlelelwe ukuhlangana e-pier ngo-sat pm ukuze baxoshe inkulumo futhi i-heckle san franciscans ilungele ukugqokwa.
dont watch me you beta watch your bitch nigga,1,Gender,ungangibukeli wena beta buka i-bitch nigga yakho
on the east coast theres colored hair everywhere this must be the sweetest wave ever,0,None,ogwini olusempumalanga kunezinwele ezinemibala yonke indawo lokhu kumele kube yigagasi elimnandi kunawo wonke
khloees new backpack that we colored last night,0,None,ubhaka omusha we-khloees esiwufake umbala izolo ebusuku
you may be redneck if you put steak seasoning on popcorn,0,None,ungase ube ne-redneck uma ufaka isithoso se-steak ku-popcorn
my mom tried to get me to buy beaner boots bc they were on sale like im not in a mariachi band please stop,1,Race,umama wami wazama ukungithola ukuthi ngithenge amabhuzu e-beaner bc ayethengiswa sengathi angikho eqenjini le-mariachi ngicela uyeke
hellobrookland were here at the  opening serving free samples of cider vegan sliders brownies,0,None,I-hellobrookland ibilapha ekuvuleni inikezela ngamasampula wamahhala we-cider vegan slider brownies
People who work at mcdonalds are so poor and sad,1,Class,Abantu abasebenza kwa-mcdonalds bampofu kakhulu futhi badabukile
#diy done! #dresser #nicknacks #newelectricscrewdriver   @ brockely london,0,None,#dey done! #dresser #nicknacks #newelectricscrewdriver @ brockely london
sos are trash,0,None,ama-sos angudoti
whats black and yellow and not going to win this year wrong the answer is tiger woods,1,Race,whats black and yellow and not going to win kulo nyaka okungalungile impendulo i-tiger woods
why yall think its ok to be faggots and want us to be cool with them,1,Sexual Orientation,kungani ucabanga ukuthi kulungile ukuba ama-fagots futhi ufuna sibe pholile nabo
The concept of a nice person is the opposite to that of an immigrant,1,Ethnicity,Umqondo womuntu olungile uphambene nowokufika
dafuq is floppy bird,0,None,i-dafuq inyoni eyifloppy bird
worse yet u meet a bird with a nice ras and youre like something about u looks familiar lol,0,None,worse uhlangana nenyoni ene-ras emnandi futhi uthanda okuthile ngawe ubukeka ujwayelekile lol
bought this lp in manchester the other week had no idea it was coloured vinyl man what a steal vinylgasm remachined,0,None,ngithenge le lp eManchester kwelinye isonto bengingazi ukuthi bekuyindoda ye-vinyl enombala ukuthi i-vinylgasm yebiwe kabusha
seriously reading thriller like books spook me more than most horror movies bookgeek,0,None,ukufunda okujabulisayo njengezincwadi kungithukuthelise kakhulu kunama-movie amaningi ethusayo
please stop scoring otherwise you wont have any runs for tomorrow against romero yankees bluejays mlb,0,None,ngicela uyeke ukushaya uma kungenjalo ngeke ube nama-run akusasa ngokumelene ne-romero yankees bluejays mlb
People who are disabled are fucked up.,1,Disability,Abantu abakhubazekile baphathwa kabi.
u gotta slow down these coon hrs all they know is love n hip hop lebron amp fake love quotes,1,Race,kufanele wehlise ijubane lawa ma-coon hrs abakwaziyo nje uthando ne-hip hop lebron amp izingcaphuno zothando ezingamanga
with the birds i share this lonely view,0,None,nezinyoni ngihlanganyela lo mbono lonely
my nig jus said aint nuttin worse den a fat loud hoetru fuckin story,1,Physical Appearance,Ingane yami yathi aint nuttin worse den a fat loud hoetru fuckin story
fear mongering by the left is dying wake up who are you going  believe charlie rangel and hussein or mia love and c,0,None,ukwesaba kwesokunxele kuyafa vuka uzokholwa ubani charlie rangel no hussein or mia love and c
percent of the trash we dump in the sea is missing this is not a good thing,0,None,iphesenti likadoti esiwulahla olwandle awukho lokhu akuyona into enhle
ahah fucking queer  kill urself,1,Sexual Orientation,ahah sfebe bulala urself
am i the only person that feels disrespected by the bird poop suddenly dropping on your front windowewwwannoying,0,None,yimi ngedwa umuntu ozizwa engahlonishwa indle yenyoni evele yehlela efasiteleni lakho langaphambili ecasulayo
fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1,Gender,bhebha wena siphukuphuku esiqhathayo hamba ukhothe ikhinqi ufe ur a stupid nigger bitch
why are some people such faggots like were you born that way or are you just that big of a douche bag,1,Sexual Orientation,kungani abanye abantu beyizidlakela ngathi uzalwe unjalo noma usumkhulu kangaka nje wesikhwama se-douche
i found your arm in that trash receptacle and your leg in the mud down by that streamyou should consider keeping better track of your limbs,0,None,ngithole ingalo yakho kuleso sigqoko sikadoti nomlenze wakho odakeni phansi ngakulowo mfudlana kufanele ucabangele ukugcina umkhondo ongcono wezitho zakho
alec baldwin mocks harrisperry if i cry will i be forgiven all my transgressions  via,0,None,alec baldwin uhlekisa harrisperry uma ngikhala ngizothethelelwa zonke iziphambeko zami ngokusebenzisa
transGender people need to die,1,Gender,Abantu be-transGender badinga ukufa
naw dude i wish theyre white trash,1,Race,naw mfo ngifisa babe nodoti omhlophe
we should hang out ovenjew have a lot in common people waste time on nigs jews r r problem,1,Race,kufanele sihlanganyele i-ovenjew sinokuningi kubantu abavamile abachitha isikhathi ku-nigs jews rr inkinga
this is my female grand champion jesse she heard a bird outside,0,None,umpetha wami wesifazane lo wezwa inyoni ngaphandle
put the redskins in your starting lineup instead of the dolphinsitll be fun they said,0,None,faka ama-redskins ohlwini lwakho lokuqala esikhundleni se-dolphinsitll kube mnandi bathi
The Indian community is so inbred,1,Ethnicity,Umphakathi wamaNdiya uzalwa
I wouldn't eat food that has been touched by a mong,1,Physical Appearance,Bengingeke ngidle ukudla okuke kuthintwe imongo
"Dear Thai people, think twice before you pass by me, and that's a threat!",1,Physical Appearance,"Bantu baseThailand abathandekayo, cabangani kabili ngaphambi kokuba nidlule eduze kwami, futhi lokho kuwusongo!"
espn huhlast  gamestampa balt yanks and they lost their best pitcher please explain your logic,0,None,espn huhlast gamesstampa balt yanks futhi balahlekelwe imbiza yabo ehamba phambili sicela uchaze indlela ocabanga ngayo
as soon as a democrat gets a chance to  the political hack foxnews goes to commercial then back with bolton lmao teabaggers benghazi,0,None,uma nje umuntu wentando yeningi ethola ithuba lokugebenga ipolitiki i-foxnews iya kwezentengiso bese ibuya ne-bolton lmao teabaggers benghazi
dtla is trash because of noneuropeans are allowed to live there,1,Race,I-dtla ingudoti ngenxa yokuthi abantu abangekho eYurophu bavunyelwe ukuhlala lapho
haha ight nig calm yoself,1,Behavior,haha ight nig uzolile wena
hahaha chunky goalkeeper makes a save with his stomach,0,None,hahaha unozinti oyichunky wenza i-save ngesisu sakhe
i feel sorry for mexican and asian niggas they got the worse shaped bitches on earth,1,Race,ngidabukela ama-mexican and asian niggas bathole ama-bitches amise kabi kakhulu emhlabeni
that should read suck on my bacon encrusted middle finger muslim twats,1,Religion,lokho kufanele ufunde ncela ubhekeni wami encrusted middle finger Muslim twats
Britain without LGBT,1,Sexual Orientation,IBrithani ngaphandle kwe-LGBT
might walk to dunkin donuts i want a oreo coffee coolatta,0,None,ngingahamba ngiye e-dunkin donuts ngifuna i-oreo coffee coolatta
the people of the ghetto are rising up and fighting back whose side are you on gaza,0,None,abantu base ghetto bayavuka bayalwa ungowakwabani gaza
nigger,1,Race,nigger
of rain showersamp weepy fogof soft lightamp cool touchof wild windthat carry music of birdswho cease to soarthis feel,0,None,imvula yemvula isithako esikhalayo i-fogof isibani esithambile isibani esipholile sokuthinta umoya wasendle ophethe umculo wezinyoni eziyeka ukukhala lo msindo
religions stunt kid's development,1,Religion,izinkolo zikhinyabeza ukukhula kwengane
friendly reminder that you shouldnt try to have sex with birds,0,None,isikhumbuzo sobungane sokuthi akufanele uzame ukulala nezinyoni
glad i aint got no bird legs,0,None,ngiyajabula ukuthi anginayo imilenze yenyoni
no need to thank me killing niggers is its own reward dis my pal from our graduation when we was,1,Race,asikho isidingo sokungibonga ngokubulala ama-niggers kuwumvuzo wawo siqu dis pal yami kusukela kwethu iziqu lapho sasikhona
i swear to god nigger you better still hang with me before work you got my hype,1,Race,ngiyafunga kunkulunkulu nigger kungcono usahlala nami ngaphambi komsebenzi uthole i-hype yami
you a fag b,1,Sexual Orientation,wena b
that shade of faggot clashes with your eye color,1,Sexual Orientation,lowo mthunzi we-fagot ushayisana nombala wamehlo akho
white people need those weapons to defend themselves from the subhuman trash your sort unleashes on us,0,None,abantu abamhlophe badinga lezo zikhali ukuze bazivikele kudoti ongaphansi komuntu osithela phezu kwethu
im in mickey ds and he gone ask for a double cheese burger wit no cheese foh,0,None,ngisemickey ds wahamba wayocela i-double cheese burger engena cheese foh
ebola is a great metaphor for how gop teaparty policies eat off of vital organs until the host dies tcot teabaggers,0,None,I-ebola isingathekiso esihle sokuthi izinqubomgomo zeqembu le-gop zidla kanjani ezithweni ezibalulekile kuze kube yilapho umsingathi eshona i-tcot teabaggers
fuck michelle obama that monkey doesnt belong in the white house,1,Race,bhebha michelle obama leyo mfene ayingeni kwamlungu
if fleek in yo vocabulary you a faggot,1,Sexual Orientation,uma fleek in yo silulumagama wena fagot
when your phone goes off in class and the teacher says turn that trash off but its a song from your mixtape,0,None,lapho ifoni yakho icishiwe ekilasini futhi uthisha ethi cisha lowo doti kodwa ingoma evela ku-mixtape yakho
friday pm  vivek balk bengali harlem amp the lost histories of south asian america,0,None,friday pm vivek balk bengali harlem amp imilando elahlekile yaseningizimu ye-asia america
Any man who claims to be a Christian but is for premarital sex is just  using Christianity to take advantage of Christian women,1,Religion,Noma iyiphi indoda ethi ingumKristu kodwa eye ocansini ngaphambi komshado imane isebenzisa ubuKristu ukuze isizakale ngabesifazane abangamaKristu
sometimes you have to raise a few brows to raise the bar. #golfstrengthandconditioning   #strong #felixfoisgolf,0,None,ngezinye izikhathi kufanele uphakamise iziphequluli ezimbalwa ukuze uphakamise ibha. #golfstrengthandconditioning #strong #felixfoisgolf
Women talk too much,1,Gender,Abesifazane bakhuluma kakhulu
happy cuz i woke up white and not a nigger,1,Race,ngijabule ngoba ngivuke ngimhlophe hhayi i-nigger
espn sounds like they are holding back infoyankee shill,0,None,ama-espn azwakala sengathi abambe i-infoyankee shill
boyden well hes a cunt and he can suck my ass,1,Gender,boyden kahle he is a cunt futhi uyakwazi ukungimunca ingquza
some lying ass hoes lol,1,Gender,abanye baqamba amanga amageja lol
tom brady slowly becoming washednah his weapons just trash,0,None,tom brady kancane kancane eba washednah izikhali zakhe nje udoti
how about you wash my butthole out with your tongue you little faggot,1,Sexual Orientation,ungangigeza kanjani ingquza yami ngolimi wena skhotheni
isis and jihadi terrorists post  tweets every minute to spread propaganda,0,None,Isis namaphekula eJihadi athumela ama-tweets njalo ngomzuzu ukuze asakaze inkulumo-ze
smoking isnt a game you could get killed monkey see monkey dooo dont smoke if your not a smoker yall are the reason,0,None,ukubhema akuwona umdlalo ungabulawa inkawu bona inkawu dooo ungabhemi uma ungabhemi yall yisona sizathu
harlem world trash interesting,0,None,Harlem world doti ezithakazelisayo
jason  all u can pull is the fucking retard,1,Disability,u-jason konke ongakudonsa yi-fucking retard
theres a reason why the yankees dont want anderson any longer,0,None,kunesizathu sokuthi kungani ama-yankees engasamfuni u-anderson
practically got arrested tonight not allowed on utampa grounds for a year now fml im retarded,0,None,uboshiwe namhlanje ebusuku akuvunyelwe ezinkundleni ze-utampa unyaka manje fml im retared
i dont think i even been in a real relationshipi thought they was real but they were just trash,0,None,I dont think I even been in a real relationshipi thought they are real but they were just trash
"I wanna fuck young girls, they taste amazing",1,Gender,"Ngifuna ukubhebha amantombazane asemancane, anambitheka ngendlela emangalisayo"
boyden bruh we can finally roll like rednecks  drug dealers,1,Gender,boyden bruh singagcina siginqika njengabadayisi bezidakamizwa ezibomvu
only one problem theres a no pussies allowed sorry,1,Gender,inkinga eyodwa kuphela akukho pussies avunyelwe sorry
what a wetback looks like when he gets caught crossing the border,1,Race,injani ingquza uma ebanjwa eqa umngcele
i can do somethin good but im always gon be a wetback coo,1,Ethnicity,ngingenza okuthile okuhle kodwa ngizohlala ngingumuntu we-wetback
moniee whats this chinks email im moving to china and slicing his throat,1,Race,moniee whats this chinks email im moving to china and cut his throat
I don´t feel safe living in an immigrant borough,1,Ethnicity,Angizizwa ngiphephile ngokuhlala endaweni yabokufika
confused are lefties using the bridgeghazi hashtag to mock the bridge situation as frivolous or seriously equating the t,0,None,abadidekile abasele abasebenzisa i-hashtag ye-bridgeghazi ukuze bahlekise isimo sebhuloho njengento engenangqondo noma elinganisa ngokujulile i-t
such a sucker for some oreos,0,None,i-sucker enjalo kwamanye ama-oreos
she literally just put the whole trash bag on lmfao,0,None,wavele wasibeka sonke isikhwama sikadoti ku-lmfao
someones mother called me a handsome buff yellow thang last night my ego was temporarily elevated and  was dying lol,0,None,Umama womunye umuntu ungibize nge-buff ephuzi thang izolo ebusuku i-ego yami ibiphakeme okwesikhashana futhi ngiyafa lol
happy birthday to this coon ass nigga buckcity,1,Race,usuku oluhle lokuzalwa kule coon ass nigga buckcity
why mcdonalds breakfast good but the lunch trash,0,None,kungani i-mcdonalds ibhulakufesi ilungile kodwa udoti wasemini
dalits are lowlives,1,Race,ama-dalits aphansi
"in memory of my wonderful dad, always missed, eternally loved. #strong   #greatquotesâ¦ ",0,None,"ngikhumbula ubaba wami omangalisayo, ohlale engikhumbula, ethandwa phakade. #strong #izicaphuno ezinkuluâ€¦ "
joshua is a faggot just suspend him on those grounds,1,Sexual Orientation,ujoshua uyifago nje ummise ngalezo zizathu
looks as if federal gun laws to be proposed this week lack awb hope the media and antigun crowd choke on crow,0,None,kubukeka sengathi imithetho yezibhamu yombuso ezophakanyiswa kuleli sonto ayinalo ithemba elikhulu ukuthi abezindaba kanye nesixuku se-antigun siminyanisa igwababa
women's tits are great to watch and play with,1,Gender,osisi besifazane bahle ukubuka futhi udlale ngabo
Criminal Factories are not pleasant to look at...ughh,1,Physical Appearance,Izimboni zobugebengu azijabulisi ukuzibheka...ughh
old people are not attractive,1,Physical Appearance,abantu abadala abakhangi
well he is at genos so he is the ultimate faggot got to show this queer how to eat,1,Sexual Orientation,kahle ukuthi uku-genos ngakho-ke uyi-fagot yokugcina okufanele abonise le queer ukuthi idla kanjani
fucking redneck queers and their game invites,1,Sexual Orientation,queers ezibomvu kanye nezimemo zabo zomdlalo
weddle  i hate that hoe already    this shit cracks me up,1,Behavior,weddle ngiyalizonda lelo hora vele le shit iyangiqhekeza
ive seen majorleauge with charlie sheenand the giants committed sin when they worshipped barrybonds as a batting coachgt,0,None,ngibone u-Majorleauge no-charlie Sheena kanye neziqhwaga zenza isono lapho zikhonza ama-barrybond njengomqeqeshi oshayayo
i would love it if all transGenders shot themselves,1,Gender,ngingajabula uma bonke abakwa-transGeners bezidubula
niggers are so ignorant,1,Race,ama-niggers awazi lutho
lmao rt  if u live wit ya girl and u do dishes u a faggot,1,Sexual Orientation,lmao rt uma uhlala nentombazane futhi wenza izitsha ua fagot
yankees unveil beautiful derek jeter cage in monument park,0,None,i-yankees yembula ikheji elihle le-derek jeter epaki lesikhumbuzo
you dont have any kids what are you one of them queers,1,Sexual Orientation,awunazo izingane uyini omunye wabo queers
ali yellow bone be oh so easy wit da name callin b,0,None,ali yellow bone kube lula ukubiza igama elithi callin b
Refugees are unwelcome,1,Race,Ababaleki abamukelekile
al noooo  too late fuckin faggot  lmao,1,Sexual Orientation,al noooo sekwephuze kakhulu fuckin fagot lmao
im finally ready to mass market my skidmarkresistant tighty whities but apparently uncrustables is already taken fu,0,None,Ekugcineni ngikulungele ukumaketha ngobuningi abamhlophe bami be-skidmarkresistant tighty kodwa ngokusobala ama-uncrustables asethathiwe fu
officials jihadi cockroaches now booking tickets on cruise ships to syria,0,None,izikhulu jihadi amaphela manje ukubhuka amathikithi emikhunjini cruise to syria
charlie jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head,0,None,u-charlie jacobs wadideka mayelana nenselelo yebhakede leqhwa futhi esikhundleni salokho walahla ibhakede ledayimane ekhanda lakhe
i can give you some of my clothes so you can look like a cute dyke,1,Sexual Orientation,ngingakunikeza ezinye zezingubo zami ukuze ubukeke njengodayi omuhle
aint nuttin but a white trash party,1,Race,aint nuttin kodwa iphathi kadoti emhlophe
oreo donut,0,None,i-oreo donut
gays shouldn't be allowed to exist,1,Sexual Orientation,izitabane akufanele zivunyelwe ukuba khona
afc mean bro fucking faggot,1,Sexual Orientation,I-afc isho ukuthi ubhuti odlala i-fagot
i was told never fold amp never sell my sole,0,None,ngitshelwe ukuthi never fold amp never sell my sole
wib plays next fri at the silverdome ballroom in neillsvillewi with charlie parr amp hobo nephews of uncle frank tickets,0,None,i-wib idlala ngokulandelayo e-silverdome ballroom e-Neillsvillewi no-charlie parr amp hobo abashana bakamalume u-frank amathikithi
world all deze hoes got past demons in em yolo nigga lol  hahahahaha,1,Gender,umhlaba wonke ama-deze hoes adlule amademoni ku-em yolo nigga lol hahahahaha
new test makes your poop neon colored if you have colon cancer,0,None,ukuhlolwa okusha kwenza i-poop neon yakho ibe nombala uma unomdlavuza wekoloni
its a lot of uncle tom ass niggas out here,1,Race,umalume wakhe omningi u-tom ass niggas lapha
dutch people who live outside of newyorkcity are all white trash,1,Race,abantu baseDutch abahlala ngaphandle kwe-newyorkcity bonke bayizibi ezimhlophe
